"filename","content_id","character","shoe_variant","scale","outfit","pose","expression","image_width","image_height","source_sha256","angle","canvas_width","canvas_height","coordinate_system","x_left","y_bottom","side","origin","reference","confirmed"
"アトリ_tatr01_l_d1_p1_f1.png","アトリ_tatr01_d1_p1_f1","アトリ","tatr01","l","d1","p1","f1","1156","2740","52dbd99c3568c3e86fa10e4cc2396a89f54e59e7d8d612642c831c663c65fadc","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","scaled_reference","[""annotations/face_boxes_l.csv"",""64f8c2b3286bd55a23a92e92b2bac699fcfffc62795ac75da0fc9e73ec786eca"",""アトリ_tatr01_l_d1_p1_f1.png"",0]","true"
"アトリ_tatr01_l_d1_p1_f2.png","アトリ_tatr01_d1_p1_f2","アトリ","tatr01","l","d1","p1","f2","1156","2740","cf2f1b284a4d605d3a00e5420bed6b99d4ceb6efade4721f27fde7aebc69a08e","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f1.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f3.png","アトリ_tatr01_d1_p1_f3","アトリ","tatr01","l","d1","p1","f3","1156","2740","3fc96b51c330b45478e8aa015506b3cb30e81714aaef146b905b135b6fb68aea","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f2.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f4.png","アトリ_tatr01_d1_p1_f4","アトリ","tatr01","l","d1","p1","f4","1156","2740","e207d101ef2ea5a2fbb71aef97789bf77ef33c459b2b4aabccbe9f8f63985e8f","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f3.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f5.png","アトリ_tatr01_d1_p1_f5","アトリ","tatr01","l","d1","p1","f5","1156","2740","538451b5208c45ce5a751ee44c91409ce4878fa445bfed71d4a8ede2823f89a7","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f4.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f6.png","アトリ_tatr01_d1_p1_f6","アトリ","tatr01","l","d1","p1","f6","1156","2740","2eff7b03ff03d4bbe8e716a2cda75f793dc429d34e78e1d387423a5092903de3","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f5.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f7.png","アトリ_tatr01_d1_p1_f7","アトリ","tatr01","l","d1","p1","f7","1156","2740","a5084a24dd6b10a0dd266efc27a83d2498aee975be5dab487a72d4ed6c923c88","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f6.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f8.png","アトリ_tatr01_d1_p1_f8","アトリ","tatr01","l","d1","p1","f8","1156","2740","3a4e9daa9be38f9407cde97319de35f1876d81225f0dfab603210d17d5ed8e72","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f7.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_f9.png","アトリ_tatr01_d1_p1_f9","アトリ","tatr01","l","d1","p1","f9","1156","2740","4639650c7feaf6c0ea3ad73deae2a3ebbcb9168399a5705521f7696e58e190ee","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f8.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fa.png","アトリ_tatr01_d1_p1_fa","アトリ","tatr01","l","d1","p1","fa","1156","2740","664bae112ba55bef854812596e3c2dafaea38e87617497a1a483e3d9ef340621","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_f9.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fb.png","アトリ_tatr01_d1_p1_fb","アトリ","tatr01","l","d1","p1","fb","1156","2740","4e3482c6cf57e2ad859fecc0d9f7d913c7580bb4632865aae283c4e5589cc74f","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_fa.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fc.png","アトリ_tatr01_d1_p1_fc","アトリ","tatr01","l","d1","p1","fc","1156","2740","d64e55537c502cb13d4d5639e5e43167dfb3437d47f83d263a3dbdca959dfd1c","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_fb.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fd.png","アトリ_tatr01_d1_p1_fd","アトリ","tatr01","l","d1","p1","fd","1156","2740","a14c21c3eab36c7eb23020c7384e97c4695fa78dab8744f2f27b909048ea1b1f","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_fc.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fe.png","アトリ_tatr01_d1_p1_fe","アトリ","tatr01","l","d1","p1","fe","1156","2740","33416af45d69b1ffd15a5c5938ff4f20604ae7d8c764da63fcd7befc2274ac5d","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_fd.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_ff.png","アトリ_tatr01_d1_p1_ff","アトリ","tatr01","l","d1","p1","ff","1156","2989","a5d1cc4f7c42f030e823527df0939596ffd4977b45eae249b9a66e217387ab11","0","1156","2989","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_fe.png"", 0.0]","true"
"アトリ_tatr01_l_d1_p1_fg.png","アトリ_tatr01_d1_p1_fg","アトリ","tatr01","l","d1","p1","fg","1156","2740","9d0d292d9027fdfd2e1504496b93416db514c0efd02f8618bd6f05419d4ea990","0","1156","2740","rotated_bottom_left_pixels","294","2058","626","inherited","[""アトリ_tatr01_l_d1_p1_ff.png"", 0.0]","true"
