filename,character,shoe_variant,scale,outfit,pose,expression,image_width,image_height,coordinate_system,x_left,y_bottom,side
アトリ_tatr01_l_d1_p1_f1.png,アトリ,tatr01,l,d1,p1,f1,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f2.png,アトリ,tatr01,l,d1,p1,f2,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f3.png,アトリ,tatr01,l,d1,p1,f3,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f4.png,アトリ,tatr01,l,d1,p1,f4,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f5.png,アトリ,tatr01,l,d1,p1,f5,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f6.png,アトリ,tatr01,l,d1,p1,f6,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f7.png,アトリ,tatr01,l,d1,p1,f7,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f8.png,アトリ,tatr01,l,d1,p1,f8,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_f9.png,アトリ,tatr01,l,d1,p1,f9,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fa.png,アトリ,tatr01,l,d1,p1,fa,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fb.png,アトリ,tatr01,l,d1,p1,fb,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fc.png,アトリ,tatr01,l,d1,p1,fc,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fd.png,アトリ,tatr01,l,d1,p1,fd,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fe.png,アトリ,tatr01,l,d1,p1,fe,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_ff.png,アトリ,tatr01,l,d1,p1,ff,1156,2989,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fg.png,アトリ,tatr01,l,d1,p1,fg,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fh.png,アトリ,tatr01,l,d1,p1,fh,1156,2989,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fi.png,アトリ,tatr01,l,d1,p1,fi,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fj.png,アトリ,tatr01,l,d1,p1,fj,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fk.png,アトリ,tatr01,l,d1,p1,fk,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d1_p1_fl.png,アトリ,tatr01,l,d1,p1,fl,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f1.png,アトリ,tatr01,l,d2,p1,f1,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f2.png,アトリ,tatr01,l,d2,p1,f2,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f3.png,アトリ,tatr01,l,d2,p1,f3,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f4.png,アトリ,tatr01,l,d2,p1,f4,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f5.png,アトリ,tatr01,l,d2,p1,f5,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f6.png,アトリ,tatr01,l,d2,p1,f6,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f7.png,アトリ,tatr01,l,d2,p1,f7,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f8.png,アトリ,tatr01,l,d2,p1,f8,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_f9.png,アトリ,tatr01,l,d2,p1,f9,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fa.png,アトリ,tatr01,l,d2,p1,fa,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fb.png,アトリ,tatr01,l,d2,p1,fb,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fc.png,アトリ,tatr01,l,d2,p1,fc,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fd.png,アトリ,tatr01,l,d2,p1,fd,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fe.png,アトリ,tatr01,l,d2,p1,fe,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_ff.png,アトリ,tatr01,l,d2,p1,ff,1156,2989,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fg.png,アトリ,tatr01,l,d2,p1,fg,1156,2740,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fh.png,アトリ,tatr01,l,d2,p1,fh,1156,2989,bottom_left_pixels,294,2058,626
アトリ_tatr01_l_d2_p1_fi.png,アトリ,tatr01,l,d2,p1,fi,1156,2740,bottom_left_pixels,294,2058,626
